keyword,frequency
continuation,27
reference,3
adaptive,136
control,640
persistent,2
excitation,44
grazing,5
bifurcation,295
harmonic,53
balance,45
modelling,16
numerical,43
gear,27
backlash,6
discontinuous,16
oblique,6
impact,41
dry,18
friction,66
flow,35
barrier,18
switchability,5
clearance,19
contact,46
mechanic,26
response,73
transience,1
surface,27
vehicle,50
modeling,62
dynamic,463
vibration,242
balanced,1
closed,2
detached,3
vertically,1
moving,14
string,7
interaction,73
interior,2
layer,3
perturbation,53
resonance,139
zone,9
crankshaft,2
torsional,8
integral,26
sensitivity,38
behavior,43
fastener,1
clip,1
hammer,2
test,19
natural,7
frequency,36
stiffness,59
isolation,26
positive,4
displacement,4
transmissibility,19
isolator,17
feedback,60
delay,91
parallel,11
mechanism,38
joint,25
capability,1
combination,8
bearing,42
inhomogeneous,7
winkler,1
foundation,3
prescribed,23
spectrum,9
flutter,16
forced,17
triangle,2
centrifugal,6
governor,2
quotient,1
radical,1
nonlinearities,19
equilibrium,22
stability,208
melnikov,10
chaotic,92
criterion,9
parametrically,2
excited,2
van,12
der,13
pol,8
oscillator,87
parametric,51
damping,58
scale,40
parameter,59
optimization,59
fault,47
deep,12
extreme,14
learning,47
machine,20
visual,2
servoing,2
backstepping,35
global,38
controller,21
quadrotor,8
uav,6
lie,18
group,12
exponential,9
mapping,8
flexible,29
spacecraft,15
disturbance,59
ndo,1
tracking,66
terminal,12
sliding,99
mode,148
continuous,15
teleoperation,1
antagonistic,1
actuator,47
compensation,15
system,346
scheme,18
convergence,26
neural,112
network,177
finite,38
element,35
geometric,24
order,34
reduction,45
invariant,29
manifold,33
whisker,1
bistable,20
structure,56
restoring,6
optimal,41
hilbert,3
transform,8
identification,54
unconstrained,1
conjugate,7
gradient,20
restart,1
procedure,1
restoration,1
payoff,1
noise,48
demographic,1
deterministic,2
fluctuation,10
stochastic,112
evolutionary,9
piecewise,19
linear,54
mathieu,4
duffing,12
instability,55
tongue,3
new,10
modulating,1
function,16
robustly,1
estimate,5
integer,1
fractional,98
derivative,39
error,18
collinear,2
restricted,7
fourier,6
series,37
variation,7
graph,13
long,8
short,6
periodic,58
orbit,27
period,13
reduced,10
variational,9
complex,51
lyapunov,92
exponent,30
fem,1
uncertainty,44
extended,37
amplitude,21
hopf,53
cylinder,6
inner,1
heat,6
resource,5
solitary,13
wave,198
integrable,9
discrete,29
nls,12
degenerate,4
darboux,43
transformation,73
positon,5
optical,14
fiber,5
coupled,62
mixed,17
breather,62
rogue,48
dbar,2
dressing,2
nonzero,5
boundary,39
condition,35
focusing,2
soliton,163
optic,5
condensate,4
pfaffian,3
technique,33
lump,39
asymptotic,37
solution,164
bilinear,57
coefficient,30
term,10
form,33
topological,6
monoid,1
dna,5
sequence,4
biological,4
community,1
mathematical,21
hair,1
growth,7
spatiotemporal,13
pattern,36
spatially,3
homogeneous,4
epileptic,5
disorder,5
electroencephalogram,3
eeg,4
seizure,8
detection,20
geometry,7
fully,2
convolutional,5
neuron,47
coupling,80
codimension,1
switching,22
hidden,13
attractor,38
radiophysical,1
experiment,14
chua,4
circuit,26
caputo,13
delta,3
logistic,14
map,57
julia,2
set,14
fractal,15
synchronization,75
multistability,26
locking,5
effect,45
optomechanics,1
uncertain,18
command,14
filter,34
asymmetric,17
method,22
quantification,11
cantilevered,3
pipeline,1
conveying,6
fluid,27
monte,5
carlo,5
simulation,37
pearson,1
correlation,10
force,8
perturbative,2
defect,2
mem,26
spillway,1
radial,7
gate,4
region,8
strut,2
frame,2
discretized,1
shearer,1
drive,5
cutting,1
transmission,27
load,18
electromechanical,10
oscillation,67
railway,9
wheelset,6
pitchfork,5
liebau,1
phenomenon,25
singular,24
energy,153
harvester,6
buckled,2
beam,54
transient,31
basin,26
attraction,16
bursting,17
mesh,9
body,18
crack,17
tip,1
relief,2
hydraulically,1
interconnected,9
suspension,23
pressure,11
device,5
experimental,18
validation,5
absolute,18
nodal,17
coordinate,21
formulation,24
hyperelastic,6
material,27
curved,6
large,12
deformation,15
probabilistic,4
moment,3
gaussian,13
mixture,2
descent,5
incremental,13
bridge,10
modification,4
herringbone,1
chaos,125
aerodynamic,9
negative,10
oblateness,2
prolateness,1
novel,7
design,26
strict,1
gain,17
path,10
integration,12
offset,4
free,8
mpc,3
electromagnetic,18
rejection,14
liquid,9
launch,2
sensor,19
failure,10
belief,2
rule,6
base,13
expert,1
reliability,5
incommensurate,5
functional,23
external,14
traffic,8
social,7
distributed,36
cooperative,11
propagation,26
interval,13
process,21
linearization,13
memristive,13
domain,11
digital,5
twin,2
switched,17
engineering,4
calculus,20
reconstruction,5
data,16
assembly,3
principle,13
pareto,2
front,2
ferroelectrics,1
partial,19
iterative,10
hysteresis,40
attention,1
principal,6
component,9
airy,1
diffraction,2
modulation,14
potential,40
bell,2
polynomial,16
lax,8
pair,15
infinite,6
conservation,9
law,19
symmetry,28
molecular,2
characteristic,41
line,15
state,79
transition,43
bbm,1
fission,2
fusion,5
hybrid,44
mel,4
nikov,4
management,3
vector,25
parabolic,4
ansatz,2
unified,2
improved,6
expansion,14
analytical,14
bkp,1
inelastic,2
collision,21
separation,5
markovian,9
jump,23
admissibility,2
impulsive,18
decomposition,23
localized,7
saturable,4
rolling,15
feature,12
extraction,6
logical,4
autapse,3
volume,2
plasma,7
ultimate,2
bound,7
ubs,1
hamilton,7
lagrange,9
multiplier,5
competitive,3
cm,1
carbon,6
emission,2
absorption,4
economy,1
essentially,2
floquet,9
difference,13
internal,47
resonator,17
comb,2
escape,4
well,4
purely,1
cubic,7
quartic,2
variable,5
canonical,6
formalism,1
frameless,1
wiper,1
generation,10
modal,23
electrostatic,13
dispersive,2
texture,1
interface,5
support,10
varying,4
axial,10
tension,3
approximation,4
bioinspired,1
soft,14
robotics,5
pneumatic,6
bellow,1
strategy,9
adjoint,4
lco,2
spectral,16
ball,15
groove,2
curvature,8
radius,2
double,14
pendulum,25
high,6
multibody,34
shell,16
mitc,1
strain,8
smoothing,3
revolute,2
translational,3
biped,5
impulse,6
thrust,5
gait,10
flip,3
battery,4
placement,1
mobile,13
manipulator,20
pde,5
consensus,24
suppression,24
unmanned,9
ground,2
configuration,2
hierarchical,18
structural,23
fast,8
estimator,6
aerial,12
ducted,1
fan,1
kalman,13
predictive,17
vtol,1
constraint,52
performance,39
initial,13
protocol,5
contractive,2
saturated,3
input,41
convex,1
embedding,2
dimension,8
recurrence,10
plot,8
onset,2
nuclear,1
disruption,1
equation,74
contractivity,1
phase,38
portrait,7
limit,35
cycle,37
homoclinic,14
loop,8
variance,1
similarity,3
measure,7
riemannian,1
distance,6
ordinal,4
classification,3
prediction,12
gray,1
kernel,8
ngm,1
integrability,9
hodograph,3
spontaneous,1
breaking,11
multipole,2
lattice,15
modular,4
burger,2
viscous,4
shock,4
extinction,3
traveling,12
defocusing,1
sagdeev,1
mach,2
magnetic,19
field,25
hierarchy,9
rational,10
upslope,1
downslope,1
wavefront,1
trirhythmic,1
correlated,1
equivalent,15
memristor,26
hardware,6
platform,8
formation,28
point,26
spiking,10
sleep,1
wake,8
locally,5
active,29
hyperbolic,4
encryption,30
cryptanalysis,1
latin,3
square,14
attack,19
steganography,2
compression,1
hyperchaotic,13
implementation,10
genetic,10
programming,17
governing,2
node,3
hysteretic,8
inverse,16
construction,2
train,3
conicity,2
pdm,1
outer,1
windshield,1
spring,13
damper,24
reusable,1
landing,3
aerostatic,1
central,5
orifice,1
kinetic,1
stress,3
micro,2
inertial,11
perovskite,2
flexoelectric,1
size,3
dependent,2
harvesting,32
stribeck,1
oil,3
whirl,10
whip,1
monitoring,5
description,2
angular,4
hertz,2
investigation,1
flywheel,2
ring,7
hbm,1
testing,5
ideal,1
roll,3
angle,11
stable,7
index,9
road,3
adhesion,1
crisis,5
intermittency,3
vibrator,1
spur,7
tooth,2
neighboring,2
teeth,2
section,7
pipe,14
graded,11
sink,36
piezoelectric,23
alternating,3
aft,1
deception,5
inequality,15
fuzzy,47
looped,2
wind,10
turbine,3
isostable,1
artificial,13
membrane,4
deployment,1
origami,5
crease,1
autoregressive,2
garch,1
financial,9
forex,1
rate,20
temporal,6
dependence,7
acceleration,4
saturation,30
bistability,11
isola,2
aircraft,7
engine,2
filtering,8
information,28
granular,4
dem,3
repulsive,4
particle,24
waals,1
cohesion,1
asynchronous,10
reachable,1
synthesis,5
markov,17
dark,4
dsii,1
stimulated,3
raman,3
scattering,9
eigenvalue,4
ferromagnetic,2
kdv,3
white,6
analytic,5
chemostat,1
flocculation,1
monod,1
functionals,2
threshold,6
ergodicity,2
transfer,28
frustration,1
neuronal,12
temperature,8
cellular,9
automaton,8
boolean,2
complexity,21
true,3
random,22
relative,5
orbital,9
swarm,12
semiconductor,3
laser,8
arnold,3
scrambling,8
watermarking,1
secure,5
communication,15
sine,2
taylor,1
chaotification,2
pseudorandom,2
bit,2
compressed,4
sensing,10
hyperchaos,6
cloud,1
environment,5
cross,4
quantum,13
selective,1
overlapping,2
diffusion,15
block,7
cipher,2
magic,1
encoding,4
decryption,1
local,20
activity,12
colour,1
security,6
ecies,1
framework,3
ade,1
basic,9
reproduction,10
mean,4
weighted,5
dual,12
replacement,1
auxetic,2
foam,2
bending,2
nagy,1
modulus,2
loss,5
factor,7
subharmonic,5
impacting,3
hydraulic,8
automotive,2
tire,2
pure,1
braking,3
cornering,2
operator,13
transverse,2
breathing,3
depth,1
location,5
spatial,16
trajectory,27
rbf,2
interpolation,3
matrix,30
energetic,2
optimality,5
biomimetic,3
propulsion,5
helical,1
interactive,1
misalignment,4
lightweight,1
tightness,1
without,1
transcritical,3
marine,6
tethered,7
uavs,4
floating,4
object,3
manipulation,4
anchored,1
tether,8
libration,5
phobos,1
topology,10
autonomous,6
vessel,4
levitation,5
riesz,1
basis,6
longitudianl,1
speed,12
do,2
networked,13
robust,51
tailless,1
attitude,12
output,30
unmodeled,3
tolerant,3
ftc,4
mfd,1
logarithmic,4
quantization,10
stabilization,37
center,11
hamiltonian,30
isochronous,2
primary,14
sparse,11
akaike,2
sparsity,1
distribution,18
reservoir,5
computing,6
josephson,3
junction,4
normal,35
anomalous,1
manakov,3
firewall,1
physical,9
supersymmetric,1
interacting,3
towering,1
waterfall,1
chain,9
lower,4
limb,2
exoskeleton,2
ftso,1
matched,2
unmatched,4
nonlocal,37
continuum,4
wronskian,4
jordan,1
singularity,14
trilinear,3
dissipative,10
position,7
tabu,1
radiation,9
generator,10
voice,2
ruelle,1
srb,1
boosting,3
prng,3
epidemic,31
heterogeneous,8
susceptibility,1
reinfection,1
delayed,15
outbreak,6
targeted,9
seismic,4
mitigation,6
absorber,26
tuned,10
mass,28
thermal,14
gas,4
foil,3
elimination,2
dissipation,7
strongly,5
metamaterials,7
band,5
degeneration,1
nonprehensile,1
juggling,2
aeroelastic,6
stall,7
bicircular,1
circular,6
cislunar,1
elliptical,5
ne,1
prism,2
galloping,12
tunnel,1
power,25
decoupling,3
iteration,4
planetary,2
gearbox,1
nonnegative,1
factorization,1
rank,3
evaluation,4
brachistochrone,1
goddard,1
electric,9
spindle,3
hypothetical,1
gyroscopic,5
regularization,4
constant,4
metamorphosis,2
galois,3
obstruction,3
underactuated,23
acrobot,2
rectifier,1
adding,6
integrator,6
decentralized,6
velocity,14
printer,1
printed,1
electronics,2
reverse,6
tower,4
crane,11
mismatched,5
fixed,6
flatness,3
tracker,1
logic,7
compensator,4
exogenous,2
planning,5
missing,1
dispersion,13
determinism,2
surrogate,2
permutation,10
entropy,50
composite,20
reinforced,1
concrete,1
cyclic,5
loading,5
poincare,4
computational,10
applied,3
mathematics,2
strange,5
forecasting,8
approximate,5
bayesian,5
computation,9
seird,2
precision,4
working,2
sampling,6
partially,3
solition,1
stripe,1
visible,1
collides,1
nondegenerate,2
molecule,18
superposition,5
jacobian,3
elliptic,8
lpd,1
dimensional,4
volterra,3
type,7
explicit,5
three,4
boussinesq,6
turing,8
brusselator,1
nonhomogeneous,1
cmkdv,1
parkinson,2
disease,8
cpg,2
induction,9
action,2
subthreshold,1
monostability,1
superextreme,1
spike,3
electronic,4
cryptography,7
telecommunication,1
channel,9
degradation,5
quaternionic,1
coexisting,13
rossler,1
distancing,3
model,32
human,6
memory,14
gillespie,2
equality,1
ode,3
weak,11
geometrically,6
consistent,2
discretization,2
augmented,3
lagrangian,10
visibility,4
cantilever,16
slow,11
vibrodynamics,1
forcing,4
nonholonomic,10
chaplygin,1
sleigh,1
bolted,5
rotor,21
rubbing,3
sommerfeld,4
nonideal,1
unbalanced,1
motor,9
resonant,9
capture,3
passage,2
regulation,8
mechanical,27
rattle,2
lubrication,7
drag,4
torque,4
supercritical,3
shaft,5
tribodynamics,1
whine,1
regime,6
powertrain,2
nvh,2
axially,5
plate,21
subsonic,1
airflow,3
percussion,1
centre,3
reversal,3
jamb,1
shrouded,1
blade,5
critical,8
graphene,5
nanoplatelets,2
imperfection,4
functionally,9
elastohydrodynamic,2
hexagon,1
honeycomb,2
sandwich,5
hygrothermal,1
side,1
motorcar,1
injury,3
risk,2
abbreviated,1
ai,1
irregularly,1
shaped,1
small,5
asteroid,4
toutatis,1
vdp,1
robot,48
adjustment,1
clapping,2
packet,4
wheeled,6
positioning,6
obstacle,2
avoidance,5
direction,5
auxiliary,10
affine,4
feedforward,5
relatively,1
helicopter,6
strong,7
interconnection,1
actuated,2
practical,6
equiprobable,1
symbolization,1
multiscale,15
sample,5
signal,21
denoising,2
echo,1
bcm,1
gchkp,1
exact,21
modified,16
ito,3
bright,5
doubly,4
correction,1
toggle,1
switch,7
izhikevich,6
synaptic,4
bee,3
colony,3
abc,1
firing,11
inhibition,3
cardiac,4
arrhythmia,1
alternans,1
conduction,2
ecg,1
appellian,1
single,5
track,2
following,4
plane,7
slack,1
combined,8
splitting,1
ordinary,4
generalised,2
swinging,1
atwood,1
autoencoder,1
orientation,7
unbalance,2
early,1
perfromance,1
thermoacoustic,3
death,6
elevator,1
shrinking,1
horizon,2
regolith,1
movement,2
deployable,1
debris,3
conserving,1
dead,4
farm,1
agricultural,1
differentiator,1
sailboat,1
guidance,8
regulator,1
ldp,1
poisson,1
rul,1
multivariable,2
impedance,4
passive,17
compliant,3
robotic,10
arm,2
multiagent,5
online,6
magnetostrictive,3
glass,2
curtain,1
wall,1
dwt,1
adhesive,1
damage,8
safety,5
status,1
selection,10
fatigue,5
severity,3
fea,1
search,5
vmd,1
compound,6
intermediate,2
timescales,2
stefan,1
flux,3
momentum,3
corrector,1
fpinns,1
forward,6
explosive,3
probability,7
filippov,6
kuramoto,4
wilson,1
coding,6
excitability,5
rhythm,1
symmetric,4
cryptographic,1
product,2
compressive,3
wbans,1
range,5
color,2
rubik,1
cube,1
conservative,9
hyperelasticity,1
elasticity,8
submanifolds,3
ocean,1
symmetrical,4
gyroscope,3
matcont,2
quenching,2
iced,1
hinge,1
brownian,6
multiplicative,1
bona,1
fide,1
mnes,1
stm,1
irregular,2
hydropower,1
station,1
surge,2
tank,3
sectional,1
area,2
shale,1
compressor,2
inertia,5
vibrating,7
approach,1
satellite,8
dumbbell,1
rigid,15
link,2
nc,1
dropout,1
boxplot,1
birkhoffian,1
light,7
source,9
hamiltonians,2
emergence,1
average,9
manufacturing,2
swirl,1
combustion,3
beat,1
osdc,1
observer,8
lmis,3
descriptor,2
phononic,2
crystal,7
acoustic,9
metamaterial,5
cklund,1
vries,4
simple,3
pole,7
schnakenberg,1
lossy,1
medium,11
conformable,2
acute,1
myeloid,1
leukemia,1
immune,1
current,7
stimulation,4
gene,5
regulatory,3
thermistor,2
scroll,1
rumor,2
elastic,13
timescale,1
indicator,3
dielectric,8
elastomer,9
maximum,3
stiffening,2
updating,2
wbemd,1
epmc,1
weakly,3
localization,9
ihbm,1
skidding,2
degree,3
wear,6
cage,2
whirling,4
verification,3
shift,9
sieve,1
diagram,10
largest,7
meshing,8
solar,3
cell,4
stiffener,1
lambert,2
linearized,1
effectiveness,1
adp,4
etm,1
blf,3
predefined,2
accuracy,5
ship,2
convergent,1
thruster,1
reject,1
bounded,8
dwell,6
maneuver,3
folding,1
optimisation,2
outertotalistic,1
spline,3
arctangent,1
standard,3
cosine,1
mutual,3
ozone,1
recursive,6
least,6
handiski,1
simulator,2
cueing,1
disabled,1
people,2
pso,2
washout,1
fastslam,1
gpc,1
custom,1
lidar,1
real,2
assessment,3
evolution,13
simplified,3
nilpotent,1
weierstrass,2
plasticity,3
chebyshev,5
extraneous,1
connected,1
conjugation,1
medical,2
game,14
theoretic,1
sufficient,1
nash,4
competition,2
heterogeneity,3
individual,2
influence,1
awareness,4
microscopic,1
hunting,5
holling,1
iii,1
focus,3
multiplicity,1
influenza,1
subtypes,1
antigenic,1
change,2
mathematic,1
forecast,1
converter,7
renewable,1
oscillating,2
water,12
column,5
statistical,10
warping,1
machining,1
guide,3
screw,5
feed,3
isolators,1
nanocomposites,1
ritz,1
restitution,2
elastoplastic,1
zener,1
regenerative,2
ceramic,2
rock,1
characterisation,1
drilling,3
waviness,1
coherence,6
synchronisation,2
collective,4
behaviour,4
cascade,3
rayleigh,4
calibration,3
level,5
walking,3
viscoelastic,5
leg,2
broad,2
nhelss,1
tvft,2
hptc,1
rise,1
nussbaum,1
msc,6
constrained,9
integrated,4
containment,5
reinforcement,5
mimo,3
nonlinearly,1
violent,2
direct,8
galerkin,6
higuchi,3
tuning,3
coronavirus,10
torus,8
unfolding,2
reversible,2
butterfly,2
catastrophe,1
singularly,4
perturbed,6
background,6
shifted,2
mkdv,1
subnets,1
reflection,2
incident,1
reflected,1
stuffiness,1
waveguide,1
flexural,1
amplification,4
symbolic,10
calculation,3
wbk,1
zero,6
algebraic,7
ischemic,1
stroke,2
blood,1
oxygen,1
finance,1
stack,1
theoretical,4
wearing,2
machinery,3
throwing,1
binary,3
shooting,1
nanotube,3
softening,4
different,5
explosion,4
pse,1
capsule,3
endoscopy,2
efficiency,6
corner,2
sharing,1
static,12
ltca,1
stackelberg,1
presnov,1
stabilisation,1
intermittent,8
levy,1
semilinear,2
frdss,1
synergetic,1
arneodo,1
hydrodynamics,4
relay,3
preisach,4
dahl,1
meshless,4
peridynamics,1
labyrinth,1
seal,2
rare,2
event,5
deviation,3
residue,2
theorem,10
lsri,1
dromion,3
doublet,2
projecting,3
expression,5
nonautonomous,8
folded,1
schur,1
tempered,4
bloch,1
synapse,8
chemical,3
hopfield,4
hnn,3
bias,2
decoding,1
elementary,3
cryptosystem,1
hardening,6
gauss,4
vertical,7
earthquake,1
qualitative,2
trigger,2
payload,2
adapter,2
fitting,1
bionic,2
ptmd,1
linearisation,1
inerter,8
sobol,1
rocking,4
chattering,3
triboelectric,2
film,7
driving,3
conducting,2
problem,7
controllable,6
connector,1
general,11
restraint,1
legged,1
hexapod,1
annular,1
nonaxisymmetric,1
magnetoelastic,1
nonuniform,2
actuation,4
shape,5
lubricated,1
elastica,1
tendon,1
aeroelasticity,9
milling,2
implicit,8
anisotropic,1
timoshenko,3
overhead,3
trolley,1
swing,4
semiglobal,1
uniformly,4
ultimately,2
boundedness,6
measurement,7
virtual,8
wireless,1
smart,3
critic,1
experience,2
replay,2
mjss,2
smc,2
phototube,1
pdes,3
existence,4
property,8
revised,1
observation,2
flapping,5
wing,6
symplectic,6
vortex,11
near,1
peakon,3
biology,1
population,10
laminar,1
representation,9
interlaminar,1
intralaminar,1
kam,2
averaging,29
russia,1
vaccination,10
pandemic,6
sir,6
commensurate,1
epidemiology,3
corona,1
virus,3
epidemiological,1
seiatr,1
second,6
peak,3
provision,1
limitation,1
educational,1
attempt,1
hospitalization,1
pontryagin,1
endemic,1
backward,10
intervention,7
immunity,3
waning,1
seir,8
density,6
inference,2
spread,3
brain,7
car,1
averaged,3
subgradient,1
antisymmetric,1
nnms,1
balancing,2
isolas,1
study,3
shear,2
ability,1
rotating,13
thin,6
bed,1
horizontal,1
freeplay,3
torso,1
servo,1
psvcs,1
amb,1
buckling,3
nucleation,1
cable,12
mistuning,1
qzs,2
bar,1
detumbling,1
rod,5
cusp,4
face,1
collaborative,1
etc,1
jvcl,1
gantry,1
deadzone,1
antilock,1
ab,1
inversion,4
underwater,6
nmpc,1
platoon,2
redundant,1
controlled,2
lagrangians,1
matching,3
waverider,1
fragile,1
goal,1
heuristic,2
grhdp,1
eso,1
miniature,1
mav,1
latent,3
assimilation,3
incomplete,4
initialization,1
health,6
bolt,3
head,1
corrosion,1
shapelets,1
gnome,2
gamma,1
harmonically,1
lever,1
metastructure,4
hydrodynamic,2
cylindrical,8
glider,3
micropositioning,1
stage,4
flight,5
collocated,1
two,8
fold,3
locomotion,4
ukf,1
unscented,2
tse,1
navigation,4
sigma,1
determination,1
tangent,1
bundle,2
empirical,7
conformal,1
spherical,9
guideway,3
autoloader,3
oscillatory,7
cmut,1
tunability,2
pinning,1
hammerstein,2
innovation,3
array,7
tustin,1
adaptation,5
bldcm,1
kink,5
birefringence,1
shallow,9
whitham,1
expanded,1
diploe,1
pulse,6
coexistence,3
route,2
bcs,1
hessenberg,1
gating,1
bandwidth,1
perpetual,3
third,1
kind,1
masing,1
iwan,2
classical,3
maxwell,1
slip,1
qeh,1
capacitance,1
arbitrary,3
treatment,4
adjacent,1
birhythmic,1
bvi,1
imdr,1
shannon,7
emergent,1
blisk,1
lumped,1
curve,11
syngas,1
chemiluminescence,1
release,1
causality,4
giant,1
extremity,1
rehabilitation,2
diversity,2
forest,3
intelligent,3
recovery,3
euler,3
enforcement,2
quintic,2
signature,1
semirational,2
valley,1
hall,2
edge,4
gramian,1
hadamard,2
talbot,1
carpet,1
cluster,3
sensorless,1
microfluidics,1
multiphase,1
evaporation,1
electrode,1
analog,1
filtered,7
nut,1
optimized,1
absence,2
discharge,3
swds,1
proximity,2
operation,1
based,2
hoisting,1
lowering,1
uncalibrated,1
camera,1
wavelet,6
beta,1
plant,2
supplementary,1
identifier,2
vibrational,6
shaping,3
leader,1
pid,4
intelligence,4
multiobjective,2
dmops,1
algorithm,2
ea,1
environmental,2
multifractal,7
partition,3
word,1
length,4
bubble,3
departure,1
penetration,1
inside,1
nozzle,1
maccari,2
truncated,2
bandgap,1
quadratic,3
triangular,3
gcdgks,1
residual,7
asymmetrical,3
cpe,1
lung,1
aronson,1
image,1
wide,2
heteroclinic,4
tangle,1
higher,3
implicitly,1
defined,1
sonine,1
dormancy,1
parrondo,4
paradox,7
reed,1
instrument,1
cgts,1
tvmf,1
tvms,1
ehl,1
tail,1
periodically,1
cfrp,1
permanent,5
magnet,4
synchronous,8
rotation,7
low,4
target,6
guaranteed,5
cost,3
coordinated,4
given,1
specification,1
positional,1
funnel,2
ivancevic,2
option,2
pricing,4
resolution,2
turbulent,6
preservation,1
banach,1
space,3
beesack,1
determinant,2
schrodinger,1
major,2
depressive,2
spiny,1
consumption,3
ion,2
infection,4
stationary,6
hypothesis,1
separated,1
nested,2
mcu,1
lorenz,4
motif,4
reported,1
case,5
strength,3
result,1
price,3
cryptocurrency,1
parsimony,1
physic,2
limiting,1
exchange,4
smooth,9
pool,1
billiard,2
msd,2
inverted,4
regression,5
noisy,2
hill,2
regularisation,1
pasternak,1
hale,1
kinematics,2
odd,1
hohfs,1
trailer,1
fastening,1
computed,1
ivfms,1
randomly,3
occurring,3
rocgfs,1
smhafs,1
imperfectly,1
membership,2
immfs,1
lkf,1
shafting,1
common,2
transportation,3
task,2
priority,1
quantizer,1
nonsingular,8
auvs,1
refined,2
euclidean,1
divergence,4
unsupervised,1
formula,5
consistency,1
stiff,1
policy,5
controllability,4
accessibility,1
observability,3
identifiability,1
larc,1
serc,1
spin,3
polarization,1
mle,1
omni,1
magnetization,1
reductive,1
kudryashov,3
generalization,2
regularized,2
trial,3
subcenter,1
clustering,5
sloshing,5
slightly,1
compressible,1
nonsmooth,8
coulomb,10
slipping,1
unsteady,3
mfac,1
chiller,1
wire,3
rope,4
microbeam,3
afm,1
